AGRS1MG2301CE19,Microsoft Windows XP Professional,Intel(R) Pentium(R) 4 CPU 3.00GHz [1 core(s) x86],512,AOPEN_,AWRDACPI,
ADMS5MA0201CE02,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz [4 core(s) x64],4096,Hewlett-Packard,HP Compaq Pro 6300 MT,
sals1ma0502ce13,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
ENES2MD1202CE23,Microsoft Windows 10 Education,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
agrs1mg0301ce02,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
SALS1MA0901CE01,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
JURS2MC0503CE22,Microsoft Windows XP Professional,Intel(R) Pentium(R) 4 CPU 3.20GHz [1 core(s) x86],768,Compaq-Presario,GJ371AA-ABM SG3010LA,
edus1mb01ce14,Linux Mint 19 Tara,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1923,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
AGRS1MG1101CE01,Microsoft Windows 7 Professional,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
JURS2MD1101CE28,Microsoft Windows XP Professional,Intel(R) Pentium(R) Dual CPU E2180 @ 2.00GHz [2 core(s) x86],1024,Hewlett-Packard,HP Compaq dx2400 Microtower,
JURS2MD0901CE24,Microsoft Windows 8.1 Pro,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz [4 core(s) x64],4096,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
ADMS2ME0101CE12,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
SALS1MA0901CE05,Microsoft Windows XP Professional,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x86],2048,Hewlett-Packard,HP Compaq dc5800 Small Form Factor,
JURS2MD1101CE27,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
EDUS1MB0602CE03,Linux Mint 18 Sarah,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1943,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
ADMS1MA0102CE04,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz [4 core(s) x64],4096,Hewlett-Packard,HP Compaq Pro 6300 MT,
AGRS1MG2002CE01,Microsoft Windows 8.1 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ADMS2ME0101CE08,Microsoft Windows 8 Pro,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
EDUS1MB0302CE11,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
EDUS1MB0302CE05,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ENES2MD1202CE14,Microsoft Windows 10 Education,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ENES2MD1202CE05,Microsoft Windows 10 Education,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
SALS5MA1101CE04,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Quad CPU Q8400 @ 2.66GHz [4 core(s) x64],4096,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
ADMS2ME0201CE07,Microsoft Windows 7 Professional,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
ADMS2ME0101CE06,Microsoft Windows XP Professional,Intel(R) Pentium(R) 4 CPU 3.60GHz [1 core(s) x86],512,Compaq-Presario,GN670AA-ABM SG3110LA,
ENES2MD1202CE09,Microsoft Windows 10 Education,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ADMS2ME0101CE11,Microsoft Windows 7 Professional,Pentium(R) Dual-Core CPU E5800 @ 3.20GHz [2 core(s) x64],4096,Intel,DG41WV,
ADMS2ME0401CE04,Microsoft Windows XP Professional,Pentium(R) Dual-Core CPU E5300 @ 2.60GHz [2 core(s) x86],2048,Hewlett-Packard,HP Compaq dx2400 Microtower,
AGRS2MD0201CE02,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz [2 core(s) x64],3072,Hewlett-Packard,HP Pro 3000 Small Form Factor PC,
SALS1MA0301CE07,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
EDUS1MB0602CE05,Linux Mint 18 Sarah,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1929,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
EDUS1MB1001CE01,Microsoft Windows XP Professional,Intel(R) Pentium(R) 4 CPU 3.00GHz [1 core(s) x86],1016,AOPEN_,AWRDACPI,
EDUS1MB0602CE02,Linux Mint 18 Sarah,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1959,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
EDUS1MB0602CE15,Linux Mint 18 Sarah,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1959,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
sals1ma0502ce21,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
sals1ma0502ce11,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
ADMS2MA0201CE06,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],3462,Acer,Veriton M4630G,
EDUS1MB0303CE29,Microsoft Windows 7 Professional,Intel(R) Pentium(R) Dual CPU E2160 @ 1.80GHz [2 core(s) x64],1024,Hewlett-Packard,HP Compaq dx2400 Microtower,
EDUS1MB0902CP01,Microsoft Windows 10 Pro,Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz [2 core(s) x64],3014,Hewlett-Packard,HP ProBook 4430s,
EDUS1MB0602CE32,Linux Mint 18 Sarah,Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz,1981,Hewlett-Packard,HP Compaq dc5800 Microtower,
EDUS1MB0602CE39,Linux Mint 18 Sarah,Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz,1981,Hewlett-Packard,HP Compaq dc5800 Microtower,
EDUS1MB0602CE12,Linux Mint 18 Sarah,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1959,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
EDUS1MB0602CE34,Linux Mint 18 Sarah,Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz,1981,Hewlett-Packard,HP Compaq dc5800 Microtower,
sals1ma0502ce01,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
EDUS1MB0303CE20,Microsoft Windows 7 Professional,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
ENES2MD0301CE01,Microsoft Windows 7 Professional,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz [4 core(s) x64],3242,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
SALS1MA0104CE03,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ADMS1MA0102CE02,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz [4 core(s) x64],4096,Hewlett-Packard,HP Compaq Pro 6300 MT,
EDUS1MB1002CE06,Microsoft Windows 7 Ultimate,Intel(R) Core(TM)2 Duo CPU E4700 @ 2.60GHz [2 core(s) x64],2048,HP-Pavilion,KN281AA-ABM s3420la,
UEDS2MD0101CE10,Microsoft Windows VistaBusiness,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x64],3566,Hewlett-Packard,HP Compaq dc5800 Microtower,
UEDS2MD0101CE07,Microsoft Windows 8.1 Pro,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x64],3567,Hewlett-Packard,HP Compaq dc5800 Microtower,
EDUS1MB0303CE27,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ADMS2MA0201CE05,Microsoft Windows 7 Professional,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz [4 core(s) x64],3242,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
ADMS1MA0204CE04,Microsoft Windows 8.1 Pro,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz [4 core(s) x64],4096,Hewlett-Packard,HP Compaq Pro 6300 MT,
EDUS1MB0303CE34,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
ADMS1MA0201CE08,Microsoft Windows 7 Professional,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],3462,Acer,Veriton M4630G,
sals1ma0502ce04,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
EDUS1MB0303CE25,Microsoft Windows 8 Pro,Intel(R) Core(TM) i7-4770 CPU @ 3.40GHz [4 core(s) x64],6144,Acer,Veriton M4630G,
EDUS1MB0902CE03,Microsoft Windows 7 Professional,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
sals1ma0502ce20,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
EDUS1MB0901CE07,Microsoft Windows 7 Professional,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
JURS2ME0701CE03,Microsoft Windows 7 Professional,Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
sals1ma0502ce16,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
ADMS1MA0203CE08,Microsoft Windows 7 Professional,Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz [2 core(s) x64],2048,Hewlett-Packard,HP COMPAQ 6200 PRO MT PC,
UEDS2MD0102CE21,Microsoft Windows 8 Pro,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x64],4096,Hewlett-Packard,HP Compaq dc5800 Microtower,
JURS2MC0503CE09,Linux Mint 17.3 Rosa,AMD FX-8320E Eight-Core Processor,3682,System manufacturer,System Product Name,
UEDS2MD0102CE58,Microsoft Windows 8 Pro,Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz [2 core(s) x64],3567,Hewlett-Packard,HP Compaq dc5800 Microtower,
ADMS1MA0101CE14,Microsoft Windows Vista Business,Intel(R) Pentium(R) Dual CPU E2160 @ 1.80GHz [2 core(s) x64],1024,Hewlett-Packard,HP Compaq dx2400 Microtower,
edus1mb0101ce11,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
sals1ma0502ce22,Linux Mint 19 Tara,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,3832,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
JURS2MD0102CE05,Microsoft Windows 7 Professional,Intel(R) Pentium(R) Dual CPU E2160 @ 1.80GHz [2 core(s) x64],1024,Hewlett-Packard,HP Compaq dx2400 Microtower,
EDUS1MB0601CE01,Microsoft Windows 7 Professional,Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz [4 core(s) x64],4096,Hewlett-Packard,HP Compaq 6200 Pro MT PC,
edus1mb0101ce12,Linux Mint 19 Tara,Intel(R) Core(TM)2 Duo CPU     E7500  @ 2.93GHz,1923,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
EDUS1MB1002CE04,Microsoft Windows 8 Pro,Intel(R) Core(TM)2 Duo CPU E7500 @ 2.93GHz [2 core(s) x64],2048,Hewlett-Packard,HP Compaq 6000 Pro MT PC,
